File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 2
Time: 1.23731000
Energy: 3.311377590000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.844000000
L1i,809368,1701,0,0,0,405.534500,917.400000000
L2,809368,1701,0,0,0,405.534500,917.400000000
DRAM,801,0,16,0,0,36.445500,965.285595000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 4
Time: 1.23576500
Energy: 3.310381810000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.766750000
L1i,809368,1701,0,0,0,405.534500,917.322750000
L2,809368,1701,0,0,0,405.534500,917.322750000
DRAM,798,0,0,0,0,36.309000,964.603930000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 8
Time: 1.23576500
Energy: 3.310381810000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.766750000
L1i,809368,1701,0,0,0,405.534500,917.322750000
L2,809368,1701,0,0,0,405.534500,917.322750000
DRAM,798,0,0,0,0,36.309000,964.603930000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 2
Time: 1.23731000
Energy: 3.311377590000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.844000000
L1i,809368,1701,0,0,0,405.534500,917.400000000
L2,809368,1701,0,0,0,405.534500,917.400000000
DRAM,801,0,16,0,0,36.445500,965.285595000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 4
Time: 1.23576500
Energy: 3.310381810000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.766750000
L1i,809368,1701,0,0,0,405.534500,917.322750000
L2,809368,1701,0,0,0,405.534500,917.322750000
DRAM,798,0,0,0,0,36.309000,964.603930000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 8
Time: 1.23576500
Energy: 3.310381810000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.766750000
L1i,809368,1701,0,0,0,405.534500,917.322750000
L2,809368,1701,0,0,0,405.534500,917.322750000
DRAM,798,0,0,0,0,36.309000,964.603930000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 2
Time: 1.23731000
Energy: 3.311377590000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.844000000
L1i,809368,1701,0,0,0,405.534500,917.400000000
L2,809368,1701,0,0,0,405.534500,917.400000000
DRAM,801,0,16,0,0,36.445500,965.285595000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 4
Time: 1.23576500
Energy: 3.310381810000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.766750000
L1i,809368,1701,0,0,0,405.534500,917.322750000
L2,809368,1701,0,0,0,405.534500,917.322750000
DRAM,798,0,0,0,0,36.309000,964.603930000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 8
Time: 1.23576500
Energy: 3.310381810000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.766750000
L1i,809368,1701,0,0,0,405.534500,917.322750000
L2,809368,1701,0,0,0,405.534500,917.322750000
DRAM,798,0,0,0,0,36.309000,964.603930000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 2
Time: 1.23731000
Energy: 3.311377590000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.844000000
L1i,809368,1701,0,0,0,405.534500,917.400000000
L2,809368,1701,0,0,0,405.534500,917.400000000
DRAM,801,0,16,0,0,36.445500,965.285595000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 4
Time: 1.23576500
Energy: 3.310381810000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.766750000
L1i,809368,1701,0,0,0,405.534500,917.322750000
L2,809368,1701,0,0,0,405.534500,917.322750000
DRAM,798,0,0,0,0,36.309000,964.603930000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 8
Time: 1.23576500
Energy: 3.310381810000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.766750000
L1i,809368,1701,0,0,0,405.534500,917.322750000
L2,809368,1701,0,0,0,405.534500,917.322750000
DRAM,798,0,0,0,0,36.309000,964.603930000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 2
Time: 1.23731000
Energy: 3.311377590000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.844000000
L1i,809368,1701,0,0,0,405.534500,917.400000000
L2,809368,1701,0,0,0,405.534500,917.400000000
DRAM,801,0,16,0,0,36.445500,965.285595000
File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 4
Time: 1.23576500
Energy: 3.310381810000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,130497,544,60135,458,0,65.978500,577.766750000
L1i,809368,1701,0,0,0,405.534500,917.322750000
